Source_File,Date,Category,Item_No,Item_Description,Unit,City,Metric,Value
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,2,Rice Basmati Broken (Average Quality),1 Kg,Sialkot,MAX,190.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,2,Rice Basmati Broken (Average Quality),1 Kg,Lahore,MIN,205.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,2,Rice Basmati Broken (Average Quality),1 Kg,Lahore,AVG,215.37
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,2,Rice Basmati Broken (Average Quality),1 Kg,Lahore,MAX,230.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,2,Rice Basmati Broken (Average Quality),1 Kg,Faisalabad,MIN,220.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,2,Rice Basmati Broken (Average Quality),1 Kg,Faisalabad,AVG,233.14
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,2,Rice Basmati Broken (Average Quality),1 Kg,Faisalabad,MAX,240.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,2,Rice Basmati Broken (Average Quality),1 Kg,Sargodha,MIN,160.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,2,Rice Basmati Broken (Average Quality),1 Kg,Sargodha,AVG,160.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,2,Rice Basmati Broken (Average Quality),1 Kg,Sargodha,MAX,160.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,3,Rice IRRI-6/9 (Sindh/Punjab),1 Kg,Islamabad,MIN,160.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,3,Rice IRRI-6/9 (Sindh/Punjab),1 Kg,Islamabad,AVG,178.64
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,3,Rice IRRI-6/9 (Sindh/Punjab),1 Kg,Islamabad,MAX,200.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,3,Rice IRRI-6/9 (Sindh/Punjab),1 Kg,Rawalpindi,MIN,150.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,3,Rice IRRI-6/9 (Sindh/Punjab),1 Kg,Rawalpindi,AVG,164.27
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,3,Rice IRRI-6/9 (Sindh/Punjab),1 Kg,Rawalpindi,MAX,180.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,3,Rice IRRI-6/9 (Sindh/Punjab),1 Kg,Gujranwala,MIN,0.0
