source_file,source_kind,source_sheet,2002-03,mineral,province,period_type,period_order,period,value,unit
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,3,2-Sep,2485.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,3,2-Sep,604.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,3,2-Sep,703.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,3,2-Sep,499.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,3,2-Sep,300.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,3,2-Sep,167.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,4,2-Oct,4554.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,4,2-Oct,4124.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,4,2-Oct,3183.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,4,2-Oct,3076.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,4,2-Oct,3528.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,4,2-Oct,6346.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,4,2-Oct,4775.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,4,2-Oct,2950.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,4,2-Oct,3153.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,4,2-Oct,9214.0,MT
