source_pdf,year,s_no,items,unit,weight,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,year_total,page,table_index
Table-2-23-24-1.pdf,2023-24,31,Upper leather,000 Sq M,0.4,1095.0,1122.0,1174.0,1182.0,1151.0,1133.0,1144.0,1111.0,1038.0,1006.0,1009.0,1086.0,13251.0,1,1
Table-2-23-24-1.pdf,2023-24,32,Sole leather,,0.0,16.0,16.0,16.0,20.0,14.0,14.0,14.0,15.0,16.0,16.0,16.0,16.0,189.0,1,1
Table-2-23-24-1.pdf,2023-24,33,Footwear,`000' Pairs,0.83,2827.0,2786.0,2842.0,2865.0,2875.0,2902.0,2960.0,2982.0,2990.0,3045.0,3035.0,3043.0,35152.0,1,1
Table-2-23-24-1.pdf,2023-24,34,Plywood,000 Sq Ft,0.09,535.0,567.0,577.0,612.0,638.0,655.0,661.0,576.0,586.0,592.0,589.0,592.0,7180.0,1,1
Table-2-23-24-1.pdf,2023-24,35,Chip Board,MT,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
Table-2-23-24-1.pdf,2023-24,36-39,Paper,,0.0,28998.0,29848.0,32013.0,29630.0,31795.0,31227.0,32567.0,32789.0,29865.0,28425.0,31757.0,27248.0,366162.0,1,1
Table-2-23-24-1.pdf,2023-24,,Paper Board,,0.0,27261.0,38031.0,34049.0,39637.0,34653.0,35720.0,35205.0,37425.0,40520.0,29400.0,36338.0,32242.0,420481.0,1,1
Table-2-23-24-1.pdf,2023-24,40,Corrugated paper/ paperboard containers,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
Table-2-23-24-1.pdf,2023-24,41,Coke,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
Table-2-23-24-1.pdf,2023-24,42-52,Petroleum Products,000 L,6.66,90.96,95.81,92.7,89.71,101.3,105.48,91.68,74.28,103.69,106.11,97.55,94.29,95.3,1,1
Table-2-23-24-1.pdf,2023-24,42,Jet fuel oil,000 L,0.47,59053.0,61399.0,62957.0,73898.0,67652.0,72081.0,75062.0,52409.0,70223.2,78135.5,64970.2,61160.9,799000.0,1,1
Table-2-23-24-1.pdf,2023-24,43,Kerosene oil,000 L,0.08,8105.0,7673.0,9027.0,8664.0,7850.0,7588.0,7726.0,7080.2,7615.5,11613.5,9530.8,8656.8,101130.0,1,1
Table-2-23-24-1.pdf,2023-24,44,Motor spirits,000 L,1.08,273321.0,279347.0,286757.0,245725.0,295044.0,286818.0,264589.0,224048.1,244325.6,306449.2,288482.1,299277.6,3294184.0,1,1
Table-2-23-24-1.pdf,2023-24,45,High speed diesel,000 L,2.51,429660.0,455655.0,455516.0,411498.0,499705.0,456745.0,413310.0,348886.9,479048.6,481287.8,473938.0,434641.3,5339891.0,1,1
Table-2-23-24-1.pdf,2023-24,46,Diesel oil n.o.s.,000 L,0.02,1411.0,2613.0,747.0,4194.0,1264.0,2161.0,1752.0,710.0,931.0,2713.6,1431.6,1279.7,21207.0,1,1
Table-2-23-24-1.pdf,2023-24,47,Furnace oil,000 L,0.96,209625.0,222503.0,192792.0,255851.0,222703.0,278307.0,176919.0,146711.4,224700.2,263099.2,235760.3,204424.1,2633394.0,1,1
Table-2-23-24-1.pdf,2023-24,48,Lubricating oil,000 L,0.18,11412.0,10428.0,9001.0,5555.0,7204.0,13707.0,12044.0,7757.3,14248.8,13345.6,12052.0,13759.5,130513.0,1,1
Table-2-23-24-1.pdf,2023-24,49,Jute batching oil,000 L,0.0,151.0,140.0,125.0,87.0,191.0,39.0,173.0,0.0,116.2,98.3,259.2,68.2,1448.0,1,1
Table-2-23-24-1.pdf,2023-24,50,Solvant Naptha,000 L,0.95,21177.0,29194.0,15361.0,22660.0,28212.0,60684.0,43047.0,27349.2,78342.7,40777.7,15936.0,20979.7,403720.0,1,1
Table-2-23-24-1.pdf,2023-24,51,LPG,000 L,0.22,70475.0,71003.0,69761.0,68589.0,72495.0,76463.0,71260.0,61500.0,75000.1,67724.3,72266.0,66247.2,842784.0,1,1
Table-2-23-24-1.pdf,2023-24,52,Petroleum prods: n.o.s.,000 L,0.18,20921.0,21970.0,22809.0,14564.0,26207.0,18339.0,24875.0,12660.7,29487.3,22984.2,18979.9,30870.5,264667.0,1,1
Table-2-23-24-1.pdf,2023-24,53-64,Chemicals Products,,2.55,106.73,109.33,115.06,110.9,109.89,116.3,115.09,111.39,115.96,115.52,111.33,102.34,111.65,1,1
Table-2-23-24-1.pdf,2023-24,53,Caustic soda,MT,0.23,41485.0,41460.0,43313.0,42657.0,39375.0,43190.0,40591.0,36077.0,51597.0,39906.0,40132.0,37465.0,497248.0,1,1
Table-2-23-24-1.pdf,2023-24,54,Toilet soaps,MT,0.73,6101.0,5754.0,6683.0,5829.0,5722.0,5748.0,6208.0,6301.0,4858.0,7107.0,6268.0,6255.0,72834.0,1,1
Table-2-23-24-1.pdf,2023-24,55,Soaps & detergents,MT,0.26,42798.0,38918.0,40631.0,40502.0,38075.0,38175.0,40970.0,38709.0,36408.0,35406.0,34950.0,33159.0,458701.0,1,1
Table-2-23-24-1.pdf,2023-24,56,Paints & varnishes(L),`000' Litres,0.54,2804.0,2807.0,2810.0,2804.0,2907.0,3956.0,4008.0,3917.0,3563.0,3633.0,3635.0,2744.0,39588.0,1,1
Table-2-23-24-1.pdf,2023-24,57,Paints & varnishes(S),Tonnes,0.18,7187.0,7227.0,7309.0,7435.0,7459.0,7468.0,7503.0,7419.0,7285.0,7344.0,7922.0,7086.0,88644.0,1,1
Table-2-23-24-1.pdf,2023-24,58,Soda ash,MT,0.08,64160.0,66190.0,63127.0,60504.0,63110.0,65747.0,57961.0,56667.0,66686.0,72992.0,73472.0,74667.0,785283.0,1,1
Table-2-23-24-1.pdf,2023-24,59,Sulphuric acid,MT,0.41,3771.0,5681.0,5614.0,5761.0,6268.0,6026.0,5031.0,4892.0,6405.0,5463.0,4648.0,4205.0,63765.0,1,1
Table-2-23-24-1.pdf,2023-24,60,Synthetic fibres,MT,0.01,43811.0,44331.0,44556.0,43421.0,42311.0,42418.0,42510.0,42645.0,42608.0,42651.0,42656.0,42745.0,516663.0,1,1
Table-2-23-24-1.pdf,2023-24,61,Matches,Mil. Boxes,0.03,854.0,866.0,1449.0,895.0,877.0,883.0,863.0,859.0,869.0,803.0,816.0,741.0,10775.0,1,1
Table-2-23-24-1.pdf,2023-24,62,Hydrochloric acid,MT,0.06,41875.0,42623.0,42443.0,42480.0,41990.0,42480.0,43960.0,44419.0,45005.0,40456.0,41031.0,37972.0,506734.0,1,1
Table-2-23-24-1.pdf,2023-24,63,Polishes & creams,Kgs.,0.01,81088.0,95538.0,53149.0,78885.0,81939.0,82758.0,73529.0,64998.3,126477.6,119252.8,83958.8,125540.5,1067115.0,1,1
Table-2-23-24-1.pdf,2023-24,64,Chlorine,MT,0.0,1209.0,1250.0,1502.0,1517.0,1579.0,1487.0,1776.0,1716.0,1608.0,1243.0,1203.0,1137.0,17227.0,1,1
Table-2-23-24-1.pdf,2023-24,65-71,Fertilizers,,3.93,120.02,116.53,115.24,114.58,119.53,119.32,118.73,115.15,122.16,111.04,104.44,106.07,115.23,1,1
Table-2-23-24-1.pdf,2023-24,65-67,Phos. fertilizers,NT,0.5,62201.0,61129.0,61238.0,66469.0,64516.0,67754.0,40061.0,65593.0,68804.0,62197.0,72101.0,64062.0,756125.0,1,1
Table-2-23-24-1.pdf,2023-24,68-71,Nit. fertilizers,NT,3.43,304629.0,295262.0,291467.0,286115.0,301659.0,298926.0,315598.0,288322.0,306391.0,278742.0,253147.0,263162.0,3483420.0,1,1
Table-2-23-24-1.pdf,2023-24,3-Jan,"Sugar, Bakery products and Chocolate & sugar confectionery",MT,3.43,0.0,0.0,0.0,0.0,220036.0,2063249.0,2138327.0,1873522.0,467123.0,3932.0,29809.0,0.0,6795998.0,1,2
